alpha,1000,5000,10000,50000,100000,200000,500000,1000000
-20,0.0096,0.0566,0.0729,0.0729,0.0514,0.0132,-0.0099,-0.0104
-19,0.005,0.0484,0.0667,0.0667,0.0426,0.0112,-0.0195,-0.022
-18,0.0007,0.0406,0.06,0.06,0.0337,0.0065,-0.0267,-0.0303
-17,-0.0035,0.0329,0.0525,0.0525,0.0244,-0.0041,-0.0331,-0.0348
-16,-0.0075,0.0256,0.0422,0.0422,0.0181,-0.0434,-0.0366,-0.0361
-15,-0.0113,0.0185,0.0232,0.0232,0.0128,-0.0463,-0.038,-0.0339
-14,-0.0149,0.0118,0.0165,0.0165,-0.0342,-0.0434,-0.0365,-0.029
-13,-0.0181,0.0054,0.0101,0.0101,-0.0427,-0.0384,-0.0322,-0.0229
-12,-0.0209,-0.0007,0.0041,0.0041,-0.0305,-0.0324,-0.0259,-0.0152
-11,-0.0232,-0.0064,-0.0016,-0.0016,-0.0226,-0.0254,-0.0168,-0.0078
-10,-0.025,-0.0116,-0.007,-0.007,-0.0165,-0.0178,-0.008,0.0009
-9,-0.0262,-0.0163,-0.012,-0.012,-0.0102,-0.0094,0.0013,0.006709091
-8,-0.0266,-0.0204,-0.0166,-0.0166,-0.0027,-0.0003,0.0101,0.0008
-7,-0.0262,-0.0236,-0.0207,-0.0207,0.0049,0.0086,0.0099,-0.0046
-6,-0.0249,-0.0258,-0.024,-0.024,0.013,0.0162,0.002,-0.0083
-5,-0.0226,-0.0265,-0.0261,-0.0261,0.0202,0.0219,-0.0058,-0.0067
-4,-0.0194,-0.0255,-0.0266,-0.0266,0.0261,0.0116,-0.0084,-0.0047
-3,-0.0153,-0.0223,-0.0248,-0.0248,0.0312,0.0011,-0.0068,-0.0032
-2,-0.0106,-0.0167,-0.0199,-0.0199,0.0243,-0.0053,-0.0044,-0.002
-1,-0.0054,-0.009,-0.0114,-0.0114,0.0143,-0.004,-0.0021,-0.001
0,0,0,0,0,0,9.09091E-05,0,0
1,0.0049,0.009,0.0114,0.0114,-0.0143,0.004,0.0021,0.001
2,0.0095,0.0167,0.0199,0.0199,-0.0243,0.0053,0.0044,0.002
3,0.0137,0.0223,0.0248,0.0248,-0.0312,-0.0011,0.0068,0.0032
4,0.0172,0.0254,0.0266,0.0266,-0.0261,-0.0115,0.0084,0.0047
5,0.0199,0.0265,0.0261,0.0261,-0.0202,-0.0218,0.0058,0.0067
6,0.0216,0.0257,0.0239,0.0239,-0.013,-0.0162,-0.002,0.0083
7,0.0222,0.0235,0.0206,0.0206,-0.0049,-0.0086,-0.0099,0.0046
8,0.0216,0.0203,0.0165,0.0165,0.0027,0.0003,-0.0101,-0.0008
9,0.02,0.0162,0.0119,0.0119,0.0102,0.0094,-0.0012,-0.0068
10,0.0173,0.0115,0.0068,0.0068,0.0165,0.0178,0.008,-0.0009
11,0.0137,0.0062,0.0014,0.0014,0.0226,0.0253,0.0167,0.0078
12,0.0093,0.0005,-0.0043,-0.0043,0.0304,0.0323,0.0257,0.0151
13,0.0042,-0.0056,-0.0104,-0.0104,0.0426,0.0382,0.0321,0.0227
14,-0.0016,-0.012,-0.0168,-0.0168,0.0338,0.0432,0.0363,0.0288
15,-0.0078,-0.0188,-0.0235,-0.0235,0.0034,0.0461,0.0378,0.0337
16,-0.0146,-0.0259,-0.0425,-0.0425,0.0002,0.0432,0.0363,0.0358
17,-0.0217,-0.0333,-0.0528,-0.0528,-0.0035,-0.0017,0.0328,0.0345
18,-0.0292,-0.0409,-0.0604,-0.0604,-0.0075,-0.0064,0.0263,0.0299
19,-0.0371,-0.0489,-0.0671,-0.0671,-0.0115,-0.0111,0.0192,0.0216
20,-0.0452,-0.057,-0.0733,-0.0733,-0.0144,-0.013,0.0095,0.0099
