alpha,10000,20000,30000,40000,50000,60000,65000,70000,75000
-20,0.0529,0.0327,0.0338,0.0332,0.0313,0.0012,0.0006,0.0026,0.0337
-19,0.0486,0.025,0.026,0.0258,0.0262,-0.0045,-0.0032,-0.0036,0.0216
-18,0.0441,0.0208,0.0184,0.0195,0.0181,-0.0074,-0.0089,-0.0098,0.019
-17,0.0354,0.0168,0.0131,0.012,0.0126,-0.0122,-0.0112,-0.0114,0.0119
-16,0.0137,0.0127,0.0073,0.0057,0.0035,-0.0144,-0.016,-0.0162,0.001
-15,0.0074,0.0094,0.0019,0.001,0.0004,-0.0187,-0.0175,-0.0179,0.0002
-14,0.0014,0.0068,-0.0018,-0.0041,-0.0039,-0.0083,-0.0224,-0.0216,-0.0095
-13,-0.0042,0.0055,-0.0055,-0.0073,-0.0083,-0.0105,-0.0238,-0.0229,-0.0101
-12,-0.0093,0.0051,-0.0078,-0.0101,-0.0123,-0.0146,-0.0253,-0.0256,-0.0202
-11,-0.0141,0.008,-0.009,-0.0122,-0.0169,-0.0184,-0.0267,-0.0296,-0.0221
-10,-0.0186,0.0139,-0.0088,-0.0138,-0.0178,-0.0229,-0.0285,-0.0301,-0.0233
-9,-0.0227,-0.0181,-0.0067,-0.0128,-0.018,-0.0212,-0.0251,-0.0235,-0.025
-8,-0.0265,-0.022,-0.0014,-0.0082,-0.0145,-0.0183,-0.0213,-0.0237,-0.0342
-7,-0.0299,-0.0256,-0.0273,0.0004,-0.0117,-0.0178,-0.0208,-0.0252,-0.0266
-6,-0.0326,-0.0198,-0.0305,-0.03,-0.0043,-0.0163,-0.0219,-0.0312,-0.0339
-5,-0.0343,0.0148,0.0158,-0.0321,0.0113,-0.012,-0.0182,-0.035,-0.0408
-4,-0.0342,0.0166,-0.0624,0.0149,-0.0034,-0.04675,-0.0502,-0.0814,-0.082
-3,-0.0308,-0.0322,-0.0748,-0.0727,0.0432,-0.0815,-0.0822,-0.084,-0.0843
-2,-0.0558,-0.0412,-0.0767,-0.0789,-0.0821,-0.0837,-0.0842,-0.0854,-0.0858
-1,-0.0678,-0.0734,-0.0764,-0.07895,-0.081966667,-0.0816,-0.0822,-0.0827,-0.0832
0,-0.0683,-0.0747,-0.0768,-0.079,-0.081833333,-0.0823,-0.0829,-0.0887,-0.0935
1,-0.0681,-0.0756,-0.0772,-0.0797,-0.0817,-0.0833,-0.084,-0.1051,-0.1089
2,-0.0682,-0.0769,-0.0782,-0.081,-0.0831,-0.09,-0.0998,-0.1165,-0.1192
3,-0.0688,-0.0786,-0.0799,-0.0828,-0.0851,-0.1121,-0.1176,-0.1213,-0.1209
4,-0.0701,-0.0809,-0.0822,-0.0852,-0.1157,-0.1234,-0.1239,-0.1167,-0.1157
5,-0.0726,-0.0841,-0.1133,-0.1198,-0.1099,-0.1065,-0.1056,-0.1027,-0.1025
6,-0.0768,-0.0894,-0.0861,-0.0874,-0.0881,-0.0887,-0.0888,-0.0881,-0.0887
7,-0.0834,-0.097,-0.0784,-0.0807,-0.0819,-0.0838,-0.0838,-0.0846,-0.085
8,-0.0913,-0.1041,-0.0716,-0.0729,-0.0718,-0.0721,-0.0726,-0.0779,-0.0785
9,-0.099,-0.1111,-0.0654,-0.0854,-0.0918,-0.1101,-0.09025,-0.0521,-0.0645
10,-0.107,-0.129,-0.0834,-0.1238,-0.0903,-0.1111,-0.1079,-0.0423,-0.0419
11,-0.1152,-0.1495,-0.1248,-0.1238,-0.0886,-0.1109,-0.1089,-0.0555,-0.0616
12,-0.1234,-0.1379,-0.1279,-0.1257,-0.0876,-0.1132,-0.1139,-0.0802,-0.0781
13,-0.1316,-0.1397,-0.1307,-0.1279,-0.088,-0.1192,-0.1189,-0.0835,-0.0824
14,-0.1399,-0.1425,-0.1342,-0.1327,-0.0896,-0.1244,-0.1243,-0.0833,-0.0866
15,-0.1483,-0.1459,-0.1395,-0.1381,-0.0929,-0.1327,-0.1297,-0.0875,-0.0904
16,-0.1662,-0.1489,-0.1455,-0.1446,-0.0961,-0.1418,-0.1411,-0.0913,-0.0945
17,-0.176,-0.1522,-0.1525,-0.1494,-0.0997,-0.1494,-0.1496,-0.0956,-0.0987
18,-0.1845,-0.1578,-0.1593,-0.1597,-0.1032,-0.1584,-0.1574,-0.1021,-0.1023
19,-0.1915,-0.1588,-0.1683,-0.168,-0.1066,-0.1676,-0.1626,-0.1073,-0.1044
20,-0.1984,-0.1664,-0.1764,-0.1768,-0.1113,-0.1752,-0.1755,-0.1098,-0.1119
