alpha,10000,20000,30000,40000,50000,60000,65000,70000,75000
-20,0.24757,0.21168,0.20483,0.24254,0.23918,0.19919,0.23475,0.19678,0.23281
-19,0.23539,0.20038,0.19584,0.22855,0.22541,0.18944,0.22203,0.18803,0.22092
-18,0.22047,0.19496,0.18719,0.21814,0.21309,0.18085,0.2104,0.18007,0.2093
-17,0.19822,0.18367,0.18207,0.2098,0.20155,0.1728,0.19873,0.17264,0.19787
-16,0.1753,0.17574,0.17236,0.19541,0.19105,0.16497,0.18689,0.16599,0.18582
-15,0.1638,0.17209,0.16764,0.18014,0.18398,0.15745,0.1748,0.15809,0.17377
-14,0.15254,0.15866,0.15746,0.17568,0.16649,0.15125,0.16289,0.14962,0.16113
-13,0.14153,0.15058,0.15174,0.15866,0.15554,0.15154,0.15474,0.14124,0.14881
-12,0.13075,0.14036,0.14041,0.14676,0.14192,0.14031,0.13858,0.13504,0.14071
-11,0.12024,0.12877,0.13157,0.13379,0.13005,0.13211,0.13087,0.12181,0.1242
-10,0.11003,0.11119,0.12035,0.12452,0.1196,0.11987,0.11768,0.11741,0.11283
-9,0.10021,0.09374,0.10925,0.10917,0.10714,0.1048,0.10509,0.10435,0.10171
-8,0.09092,0.08375,0.09775,0.09771,0.0983,0.09683,0.09317,0.09185,0.09064
-7,0.08236,0.07465,0.07466,0.086,0.08687,0.08563,0.08404,0.08535,0.08186
-6,0.07473,0.06665,0.06351,0.07477,0.07787,0.07724,0.07753,0.07663,0.0753
-5,0.06818,0.05993,0.06953,0.04972,0.04057,0.03551,0.0336,0.03236,0.03106
-4,0.06272,0.05452,0.05399,0.04097,0.03491,0.03163,0.03047,0.02946,0.02852
-3,0.05827,0.05036,0.04629,0.03672,0.03227,0.02968,0.02875,0.02798,0.02733
-2,0.05464,0.04672,0.04268,0.03487,0.03137,0.02927,0.02851,0.02847,0.02818
-1,0.05213,0.04284,0.03977,0.03876,0.03204,0.03007,0.031,0.03059,0.02976
0,0.05189,0.04183,0.03767,0.03532,0.03379,0.03592,0.03522,0.03392,0.03144
1,0.05361,0.044,0.04012,0.03798,0.03662,0.03853,0.03691,0.03491,0.03122
2,0.05665,0.0476,0.04403,0.0421,0.0409,0.04248,0.03949,0.03602,0.03305
3,0.06076,0.05225,0.04897,0.04724,0.04619,0.04695,0.04397,0.04012,0.03239
4,0.06586,0.05789,0.0549,0.05337,0.056545,0.05311,0.04813,0.04021,0.0358
5,0.07194,0.06452,0.06182,0.06049,0.0669,0.06424,0.05303,0.04577,0.03356
6,0.07901,0.07216,0.06977,0.07402,0.07684,0.07438,0.06134,0.05262,0.03537
7,0.08706,0.08081,0.07877,0.08574,0.08621,0.08452,0.06788,0.04292,0.03525
8,0.09602,0.09048,0.09482,0.09766,0.09681,0.095975,0.09413,0.0415,0.03469
9,0.10583,0.10109,0.11131,0.10987,0.10981,0.10743,0.10423,0.03907,0.03554
10,0.11636,0.11256,0.12314,0.12524,0.12067,0.11802,0.11588,0.08874,0.03746
11,0.12751,0.13345,0.13715,0.13483,0.13272,0.13233,0.12959,0.12799,0.04135
12,0.13918,0.14937,0.15126,0.14758,0.14844,0.14238,0.14108,0.13968,0.048
13,0.15129,0.16563,0.16799,0.16224,0.15779,0.15813,0.15615,0.153035,0.0578
14,0.16378,0.17744,0.17674,0.17334,0.17138,0.1731,0.17065,0.16639,0.109575
15,0.17663,0.19113,0.19052,0.18726,0.18452,0.18512,0.18104,0.17888,0.16135
16,0.18978,0.20437,0.20151,0.19978,0.19612,0.19404,0.1927,0.19257,0.16765
17,0.20944,0.22222,0.21391,0.21098,0.20892,0.20711,0.21191,0.205,0.17768
18,0.23156,0.23311,0.22716,0.22435,0.22335,0.21915,0.2178,0.22033,0.18529
19,0.24184,0.24521,0.24644,0.23668,0.23383,0.23976,0.23087,0.22938,0.196035
20,0.25719,0.26105,0.24998,0.25011,0.24479,0.24392,0.24747,0.24155,0.20678
