alpha,5000,8400,14000,23000,39000,66000,110000,150000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1500000,2000000,2500000
-20,-0.7023,-0.7504,-0.8068,-0.5385,-0.5348,-0.537,-0.5363,-0.52905,-0.5398,-0.8258,-0.5445,-0.86152,0.5537,-0.5528,-0.5566,-1.0927,-1.8718,-1.9262,-1.9623,-1.9853
-19,-0.6628,-0.6819,-0.7736,-0.5114,-0.522,-0.5398,-0.5214,-0.5238,-0.5337,-0.7931,-0.5374,-0.9408,0.528,-1.0768,-0.8569,-1.1719,-1.8544,-1.8924,-1.9235,-1.9452
-18,-0.623,-0.6218,-0.7324,-0.4905,-0.5083,-0.5174,-0.5065,-0.51855,-0.5158,-0.7645,-0.5411,-0.992,1.1413,-1.1694,-0.9685,-1.2509,-1.8192,-1.8506,-1.8749,-1.8952
-17,-0.5831,-0.5814,-0.6855,-0.4718,-0.4816,-0.499,-0.5018,-0.5133,-0.5025,-0.7484,-0.5127,-1.1315,1.2036,-1.2342,-1.0456,-1.3222,-1.77,-1.799,-1.8119,-1.8223
-16,-0.5434,-0.5411,-0.6395,-0.461,-0.4899,-0.5035,-0.517,-0.4886,-0.511,-0.7143,-0.7639,-1.1986,1.2444,-1.2763,-1.1174,-1.3542,-1.7002,-1.7204,-1.7308,-1.7374
-15,-0.5041,-0.501,-0.5894,-0.4309,-0.4618,-0.4726,-0.5184,-0.4887,-0.5227,-1.0856,-0.7348,-1.2339,1.2611,-1.299,-1.1816,-1.3495,-1.6173,-1.631,-1.6405,-1.6468
-14,-0.4655,-0.4615,-0.5324,-0.4091,-0.4495,-0.4547,-0.6574,-0.5409,-0.495,-1.1553,-1.203,-1.2285,1.2521,-1.2841,-1.2005,-1.3222,-1.5268,-1.5373,-1.5439,-1.5494
-13,-0.4282,-0.4231,-0.4328,-0.4008,-0.4355,-0.4589,-0.638,-0.5467,-0.6701,-1.1542,-1.1845,-1.2063,1.2365,-1.2497,-1.189,-1.2995,-1.4299,-1.4399,-1.4457,-1.4493
-12,-0.3923,-0.386,-0.3852,-0.3689,-0.4227,-0.4877,-0.6511,-0.6878,-1.095,-1.1402,-1.1534,-1.1743,1.1903,-1.2118,-1.166,-1.2333,-1.3329,-1.3409,-1.3398,-1.339
-11,-0.3585,-0.3508,-0.3487,-0.3347,-0.4129,-0.4448,-0.6303,-1.0534,-1.0712,-1.0854,-1.0988,-1.1141,1.1306,-1.1438,-1.1021,-1.1592,-1.23E+00,-1.2506,-1.23,-1.236
-10,-0.3273,-0.3177,-0.314,-0.4144,-0.3771,-0.5203,-0.6496,-0.9998,-1.0069,-1.0161,-1.0296,-1.0406,1.0548,-1.0625,-1.0319,-1.076,-1.1134,-1.1182,-1.1256,-1.1302
-9,-0.2985,-0.2869,-0.2809,-0.2792,-0.4953,-0.5958,-0.918,-0.928,-0.9292,-0.9403,-0.9531,-0.9621,0.9736,-0.9804,-0.9555,-0.9906,-1.0025,-1.0128,-1.018,-1.0214
-8,-0.2715,-0.2579,-0.2493,-0.2448,-0.4293,-0.8389,-0.8563,-0.8454,-0.8494,-0.8622,-0.8735,-0.8853,0.8911,-0.8978,-0.8799,-0.9059,-0.8969,-0.9044,-0.9081,-0.9109
-7,-0.2451,-0.2299,-0.2186,-0.2112,-0.7479,-0.779,-0.7745,-0.766,-0.7732,-0.7859,-0.7956,-0.8041,0.8098,-0.8153,-0.803,-0.8233,-0.7884,-0.7937,-0.7968,-0.7991
-6,-0.2176,-0.2011,-0.1875,-0.1774,-0.6947,-0.7015,-0.6923,-0.6911,-0.6975,-0.7079,-0.7155,-0.7218,0.7269,-0.7294,-0.683,-0.7035,-0.6777,-0.6819,-0.6845,-0.6864
-5,-0.1876,-0.1703,-0.1546,-0.1422,-0.6196,-0.6269,-0.6197,-0.6161,-0.6195,-0.6261,-0.6317,-0.6274,0.6036,-0.5881,-0.55,-0.5657,-0.5659,-0.5693,-0.5713,-0.573
-4,-0.1542,-0.1367,-0.1195,-0.1045,-0.4229,-0.5533,-0.5433,-0.5351,-0.5358,-0.5386,-0.5084,-0.4799,0.4579,-0.4459,-0.4195,-0.4308,-0.4534,-0.456,-0.4577,-0.4589
-3,-0.1177,-0.101,-0.0829,-0.0651,-0.0482,-0.476,-0.4624,-0.4485,-0.4463,-0.3969,-0.3574,-0.3306,0.3222,-0.3164,-0.3122,-0.3184,-0.3405,-0.3425,-0.3436,-0.3445
-2,-0.0791,-0.0651,-0.048,-0.0285,-0.0073,-0.2251,-0.3865,-0.3611,-0.3078,-0.241,-0.2156,-0.2089,0.2087,-0.2102,-0.2093,-0.2238,-0.2273,-0.2285,-0.2292,-0.2298
-1,-0.0396,-0.0317,-0.0204,-0.005,0.0168,0.0432,-0.2275,-0.2055,-0.1449,-0.1059,-0.1031,-0.1034,0.1045,-0.1052,-0.1155,-0.1068,-0.1137,-0.1143,-0.1147,-0.1149
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0397,0.0317,0.0204,0.005,-0.0168,-0.0432,0.2274,0.2055,0.1449,0.1059,0.1031,0.1034,-0.1044,0.1053,0.1061,0.1069,0.1137,0.1143,0.1148,0.115
2,0.0791,0.0651,0.048,0.0285,0.0074,0.2251,0.3864,0.361,0.3078,0.241,0.2154,0.2089,-0.2087,0.2102,0.2118,0.2238,0.2274,0.2283,0.2293,0.2299
3,0.1178,0.1011,0.0831,0.0653,0.0484,0.476,0.4623,0.4484,0.4462,0.3969,0.357,0.3306,-0.3222,0.3164,0.3177,0.3184,0.3405,0.3425,0.3437,0.3445
4,0.1544,0.1369,0.1198,0.1048,0.423,0.5533,0.5432,0.535,0.5358,0.5385,0.508,0.4799,-0.4579,0.4459,0.4369,0.4308,0.4535,0.456,0.4578,0.4589
5,0.1879,0.1706,0.155,0.1427,0.6196,0.6269,0.6197,0.616,0.6194,0.6261,0.6317,0.6274,-0.6036,0.588,0.576,0.5657,0.5658,0.5692,0.5713,0.573
6,0.218,0.2016,0.1881,0.1781,0.6946,0.7015,0.6922,0.691,0.6974,0.7078,0.7155,0.7218,-0.7269,0.7294,0.715,0.7036,0.6777,0.6819,0.6845,0.6864
7,0.2456,0.2305,0.2194,0.212,0.7479,0.7789,0.7745,0.7659,0.7732,0.7859,0.7956,0.8041,-0.8099,0.8152,0.819,0.8232,0.7884,0.7937,0.7968,0.7991
8,0.2722,0.2587,0.2503,0.2459,0.7013,0.8389,0.8563,0.8454,0.8495,0.8622,0.8735,0.8853,-0.8911,0.8978,0.9026,0.9058,0.8969,0.9043,0.9081,0.9109
9,0.2993,0.2878,0.282,0.2804,0.4976,0.8681,0.9181,0.9281,0.9292,0.9404,0.9531,0.9621,-0.9736,0.9804,0.9851,0.9906,1.0025,1.0128,1.0179,1.0214
10,0.3282,0.3188,0.3152,0.4157,0.5129,0.6009,0.9127,0.9999,1.0071,1.0162,1.0297,1.0408,-1.0548,1.0625,1.0694,1.076,1.1135,1.1181,1.1255,1.1301
11,0.3596,0.352,0.3501,0.4823,0.546,0.5865,0.517,1.0536,1.0714,1.0856,1.099,1.1142,-1.1305,1.1439,1.1497,1.1593,1.232,1.2507,1.2299,1.2359
12,0.3934,0.3873,0.3866,0.5243,0.5736,0.6059,0.6502,1.0122,1.0955,1.1405,1.1539,1.1748,-1.1898,1.2122,1.2278,1.2336,1.3329,1.3408,1.34,1.339
13,0.4294,0.4244,0.4344,0.5655,0.6007,0.6219,0.6393,0.913,1.0809,1.155,1.1853,1.2071,-1.2358,1.2504,1.2781,1.3,1.4299,1.44,1.4457,1.4494
14,0.4668,0.4629,0.5341,0.6026,0.6349,0.6568,0.659,0.6673,0.9897,1.1564,1.2039,1.2295,-1.251,1.2851,1.3157,1.3233,1.5269,1.5373,1.5439,1.5495
15,0.5054,0.5025,0.5908,0.6405,0.6724,0.6667,0.6781,0.6827,0.5219,1.0863,0.7322,1.2353,-1.2596,1.3006,1.3155,1.3505,1.6175,1.6311,1.6406,1.6468
16,0.5448,0.5426,0.6409,0.6755,0.6896,0.7011,0.7006,0.7361,0.5093,0.5031,0.7213,1.2,-1.2425,1.2773,1.3139,1.3557,1.7004,1.7206,1.731,1.7375
17,0.5846,0.5831,0.6869,0.7219,0.7231,0.7312,0.726,0.7378,0.5012,0.5062,0.5113,1.1328,-1.2017,1.2361,1.2782,1.3244,1.7707,1.7993,1.8121,1.8225
18,0.6246,0.6236,0.7341,0.7565,0.752,0.76,0.7606,0.7584,0.5147,0.5326,0.5402,0.9896,-1.139,1.1714,1.2139,1.253,1.8201,1.8513,1.8757,1.8959
19,0.6645,0.6833,0.7753,0.792,0.79,0.7857,0.7897,0.8005,0.5321,0.53,0.5358,0.5347,-0.79653,1.0776,1.1374,1.1735,1.8557,1.8937,1.9247,1.9462
20,0.704,0.7521,0.8083,0.8157,0.8341,0.8168,0.8187,0.8228,0.5384,0.5416,0.543,0.5451,-0.8272,0.553,0.5646,1.0942,1.874,1.928,1.964,1.9869
