alpha,10000,20000,30000,40000,50000,60000,65000,70000,75000
-20,0.0423,-0.0035,-0.0071,0.0207,0.0196,-0.0102,0.0195,-0.0102,0.0197
-19,0.036,-0.0066,-0.0105,0.0147,0.0136,-0.0139,0.013,-0.0143,0.0126
-18,0.0279,-0.0088,-0.0135,0.0085,0.0076,-0.0175,0.0063,-0.0184,0.0055
-17,0.0139,-0.0111,-0.016,0.0025,0.0017,-0.0209,-0.0001,-0.0222,-0.0015
-16,-0.0018,-0.0126,-0.0181,-0.0022,-0.0039,-0.0237,-0.0057,-0.0255,-0.0069
-15,-0.0081,-0.0127,-0.0191,-0.0054,-0.0093,-0.026,-0.0104,-0.0277,-0.0123
-14,-0.014,-0.0144,-0.02,-0.009,-0.0121,-0.0276,-0.0145,-0.0289,-0.0162
-13,-0.0194,-0.0145,-0.0194,-0.0111,-0.0147,-0.0288,-0.0193,-0.0298,-0.0193
-12,-0.0244,-0.0152,-0.0193,-0.0122,-0.0164,-0.0197,-0.0205,-0.0307,-0.0247
-11,-0.029,-0.0172,-0.0176,-0.0125,-0.017,-0.0211,-0.0231,-0.0297,-0.0239
-10,-0.033,-0.0208,-0.0161,-0.0102,-0.0161,-0.0202,-0.0221,-0.0244,-0.0252
-9,-0.0366,-0.0344,-0.0143,-0.0099,-0.0142,-0.018,-0.0196,-0.0214,-0.0232
-8,-0.0396,-0.0376,-0.0133,-0.0074,-0.0088,-0.0117,-0.0151,-0.0165,-0.0178
-7,-0.0419,-0.0402,-0.0326,-0.0058,-0.0042,-0.0051,-0.007,-0.0046,-0.0086
-6,-0.0432,-0.0416,-0.0406,-0.007,0.0029,0.0053,0.0081,0.0091,0.0102
-5,-0.0429,-0.0415,0.0201,0.0018,-0.0057,-0.0083,-0.009,-0.0092,-0.0094
-4,-0.0404,-0.0393,0.025,0.0051,-0.0023,-0.0049,-0.0055,-0.006,-0.0063
-3,-0.0347,-0.0339,0.0328,0.011,0.0024,-0.0014,-0.0024,-0.0031,-0.0038
-2,-0.0251,-0.0253,0.044,0.0217,0.0096,0.0033,0.0015,-0.0065,-0.0153
-1,-0.0133,-0.0124,-0.0128,-0.0136,0.0259,0.016,0.0023,-0.0059,-0.0122
0,-0.0048,-0.0026,-0.0019,-0.0016,-0.0015,-0.0357,-0.0473,-0.0595,-0.0773
1,-0.0004,0.0002,-0.0001,-0.0007,-0.0012,-0.039,-0.0456,-0.0543,-0.0763
2,0.0016,0.0008,-0.0003,-0.0013,-0.0023,-0.0403,-0.0504,-0.0596,-0.0658
3,0.0022,0.0003,-0.0014,-0.0028,-0.0039,-0.0438,-0.0454,-0.05,-0.067
4,0.0019,-0.0011,-0.0032,-0.0048,-0.0164,-0.0415,-0.0452,-0.0539,-0.0563
5,0.0006,-0.003,-0.0055,-0.0074,-0.0289,-0.0418,-0.0431,-0.0455,-0.0571
6,-0.0013,-0.0056,-0.0084,-0.0234,-0.0362,-0.04085,-0.0391,-0.0393,-0.0499
7,-0.0039,-0.0087,-0.0117,-0.0327,-0.0389,-0.0399,-0.0364,-0.0406,-0.0455
8,-0.0071,-0.0123,-0.0272,-0.0384,-0.0406,-0.0413,-0.0413,-0.0363,-0.0419
9,-0.0108,-0.0164,-0.0393,-0.0418,-0.0439,-0.0427,-0.04,-0.0338,-0.0354
10,-0.0152,-0.021,-0.0429,-0.0463,-0.0429,-0.0411,-0.0397,-0.0238,-0.0281
11,-0.0202,-0.0383,-0.047,-0.0452,-0.0432,-0.0422,-0.0404,-0.0393,-0.021
12,-0.0257,-0.0479,-0.0503,-0.0467,-0.0453,-0.0418,-0.0407,-0.0397,-0.011
13,-0.0318,-0.055,-0.054,-0.0492,-0.0459,-0.0435,-0.0421,-0.04165,0.001
14,-0.0383,-0.0587,-0.0552,-0.0514,-0.0484,-0.0457,-0.0442,-0.0436,-0.01005
15,-0.0453,-0.0633,-0.0588,-0.0547,-0.0516,-0.0486,-0.048,-0.0479,-0.0211
16,-0.0526,-0.0678,-0.0625,-0.0586,-0.0561,-0.0538,-0.0534,-0.0523,-0.0231
17,-0.065,-0.0733,-0.0671,-0.0635,-0.0611,-0.0591,-0.0558,-0.0569,-0.0258
18,-0.0803,-0.078,-0.0722,-0.0688,-0.0655,-0.0645,-0.0646,-0.0618,-0.0294
19,-0.0888,-0.0833,-0.0773,-0.0743,-0.0727,-0.068,-0.0699,-0.0706,-0.03235
20,-0.0974,-0.0891,-0.0841,-0.0806,-0.0796,-0.0781,-0.0746,-0.0774,-0.0353
