alpha,5000,8400,14000,23000,39000,66000,110000,150000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1500000,2000000,2500000
6,0.07525,0.06592,0.05979,0.05607,0.03838,0.02583,0.01982,0.01674,0.01515,0.01338,0.01239,0.01168,0.01117,0.01079,0.01039,0.01003,0.00644,0.00627,0.00616,0.00607
7,0.08404,0.07546,0.07002,0.06686,0.04847,0.03219,0.02453,0.01981,0.0177,0.01544,0.01411,0.01311,0.01249,0.01196,0.01161,0.01124,0.00686,0.00662,0.0065,0.0064
8,0.09419,0.08637,0.08161,0.07899,0.07269,0.04225,0.03056,0.02347,0.02076,0.01785,0.01617,0.01477,0.01407,0.01334,0.01284,0.01252,0.0074,0.00704,0.00688,0.00675
9,0.1053,0.0983,0.0942,0.0921,0.11019,0.05801,0.04001,0.02856,0.02481,0.02055,0.01838,0.01709,0.01577,0.01498,0.01444,0.01386,0.00803,0.00758,0.00735,0.00719
10,0.11697,0.11083,0.10741,0.12019,0.12208,0.11659,0.05757,0.03507,0.02974,0.02399,0.02122,0.0196,0.01797,0.01705,0.01626,0.01553,0.00882,0.00821,0.00793,0.00772
11,0.12891,0.12368,0.12098,0.13839,0.13663,0.12961,0.11325,0.04392,0.03619,0.02852,0.0248,0.0225,0.02068,0.01929,0.01863,0.01767,0.00976,0.00919,0.0086,0.00838
12,0.14098,0.1367,0.13473,0.15301,0.15033,0.14377,0.13582,0.05666,0.0445,0.03398,0.02939,0.02592,0.0243,0.02234,0.02095,0.02037,0.01068,0.01,0.00948,0.0091
13,0.15317,0.14983,0.15102,0.16756,0.16424,0.15771,0.15088,0.07808,0.05533,0.04088,0.03448,0.03099,0.02785,0.0265,0.02446,0.02298,0.01186,0.01093,0.01041,0.01008
14,0.16561,0.16309,0.17725,0.18162,0.17871,0.1739,0.16536,0.15995,0.07581,0.05007,0.04182,0.03769,0.03492,0.03158,0.02884,0.0281,0.013,0.01211,0.01155,0.01108
15,0.17825,0.17648,0.19301,0.1956,0.19458,0.1852,0.17984,0.17565,0.1527,0.07044,0.15575,0.04782,0.04466,0.04003,0.03825,0.03458,0.01446,0.01341,0.01266,0.01217
16,0.19106,0.19003,0.20859,0.2089,0.20431,0.19954,0.19393,0.19088,0.16202,0.16001,0.18236,0.06542,0.05989,0.05536,0.05093,0.04563,0.01618,0.01477,0.01404,0.01358
17,0.20405,0.20373,0.22352,0.22683,0.21866,0.21343,0.20802,0.20385,0.17321,0.17134,0.16977,0.09157,0.08065,0.07585,0.07038,0.06394,0.01795,0.01651,0.01574,0.01508
18,0.21723,0.2176,0.24025,0.24037,0.22977,0.22628,0.22264,0.21877,0.18372,0.18024,0.17829,0.13867,0.10738,0.10258,0.09612,0.09003,0.02048,0.01875,0.01756,0.01669
19,0.23061,0.23823,0.25487,0.25392,0.24474,0.23785,0.23518,0.23404,0.19357,0.19221,0.19044,0.19043,0.227,0.13788,0.1263,0.11951,0.02457,0.02193,0.02003,0.01885
20,0.24417,0.25735,0.26433,0.25981,0.26535,0.25042,0.24771,0.24526,0.20472,0.20345,0.20276,0.202,0.241,0.20391,0.21402,0.15205,0.03129,0.02656,0.0238,0.02222
