alpha,10000,20000,30000,40000,50000,60000,65000,70000,75000
-20,-0.5801,-0.3666,-0.365,-0.6157,-0.6138,-0.3674,-0.6093,-0.3638,-0.6072
-19,-0.5337,-0.3418,-0.3445,-0.5768,-0.5748,-0.3456,-0.5726,-0.346,-0.5731
-18,-0.4777,-0.3269,-0.3238,-0.5457,-0.5393,-0.3275,-0.5399,-0.3318,-0.5418
-17,-0.4008,-0.2991,-0.3124,-0.5222,-0.5068,-0.3112,-0.509,-0.3192,-0.5141
-16,-0.3244,-0.2779,-0.2904,-0.4864,-0.4796,-0.2952,-0.479,-0.3107,-0.4858
-15,-0.2837,-0.2673,-0.2802,-0.441,-0.4703,-0.2811,-0.4483,-0.2973,-0.4575
-14,-0.2436,-0.2294,-0.2547,-0.4429,-0.4223,-0.2745,-0.4211,-0.2801,-0.4281
-13,-0.2046,-0.2045,-0.245,-0.3921,-0.3982,-0.3156,-0.4264,-0.2661,-0.4005
-12,-0.1669,-0.1718,-0.2161,-0.3657,-0.3646,-0.3839,-0.3801,-0.2856,-0.4265
-11,-0.1309,-0.129,-0.1985,-0.3356,-0.3414,-0.3954,-0.4071,-0.2553,-0.3652
-10,-0.0971,-0.1266,-0.166,-0.3234,-0.3272,-0.3779,-0.3766,-0.4033,-0.3724
-9,-0.0657,-0.0497,-0.1339,-0.2626,-0.2934,-0.3215,-0.3581,-0.3789,-0.3713
-8,-0.0375,-0.0174,-0.0955,-0.2227,-0.2868,-0.3414,-0.3145,-0.3318,-0.3482
-7,-0.0136,0.0115,-0.0055,-0.1726,-0.2445,-0.3055,-0.3135,-0.3846,-0.3565
-6,0.004,0.0344,0.0479,-0.1128,-0.2231,-0.3045,-0.3653,-0.4129,-0.4714
-5,0.0118,0.0474,-0.458,-0.5996,-0.6115,-0.6128,-0.6129,-0.6126,-0.6128
-4,0.0052,0.0451,-0.5421,-0.5517,-0.5439,-0.5398,-0.5388,-0.5379,-0.5375
-3,-0.0226,0.0178,-0.508,-0.4881,-0.4728,-0.4659,-0.4643,-0.4633,-0.4623
-2,-0.0727,-0.0439,-0.4477,-0.4333,-0.4089,-0.3965,-0.3933,-0.3506,-0.2995
-1,-0.1206,-0.1333,-0.1305,-0.1197,-0.3656,-0.3489,-0.2666,-0.2169,-0.1776
0,-0.1255,-0.1604,-0.1798,-0.1925,-0.2016,-0.0005,0.0821,0.1723,0.2996
1,-0.0958,-0.1244,-0.1382,-0.1466,-0.1521,0.0868,0.1428,0.2142,0.3763
2,-0.052,-0.0735,-0.0833,-0.0889,-0.0924,0.1722,0.2678,0.3522,0.4108
3,-0.0031,-0.0193,-0.0262,-0.03,-0.0322,0.2809,0.3188,0.3834,0.5472
4,0.0471,0.0349,0.03,0.0275,0.07965,0.3349,0.4134,0.5397,0.5873
5,0.0966,0.0874,0.084,0.0826,0.1915,0.3535,0.4929,0.5753,0.7433
6,0.1446,0.1376,0.1354,0.2006,0.2829,0.3701,0.5259,0.6127,0.8214
7,0.1904,0.185,0.184,0.2892,0.3504,0.3867,0.5947,0.8504,0.9315
8,0.2339,0.2299,0.2861,0.3643,0.4102,0.4539,0.4729,0.9725,1.048
9,0.2754,0.2725,0.3793,0.4264,0.4864,0.5211,0.5105,1.1104,1.1348
10,0.3153,0.3134,0.4322,0.5008,0.5164,0.5451,0.5492,0.7459,1.2093
11,0.3545,0.4082,0.4887,0.523,0.552,0.6048,0.5993,0.6102,1.2758
12,0.3933,0.4758,0.5414,0.5624,0.6111,0.6044,0.6147,0.6194,1.3039
13,0.4324,0.5366,0.5967,0.6081,0.6164,0.6615,0.6666,0.65085,1.288
14,0.4717,0.5782,0.6192,0.6353,0.6557,0.6964,0.7004,0.6823,0.89535
15,0.5115,0.6248,0.6583,0.6764,0.6894,0.719,0.7076,0.6993,0.5027
16,0.5516,0.6673,0.6901,0.7098,0.7141,0.7244,0.7231,0.7302,0.5035
17,0.6101,0.7196,0.7268,0.7383,0.7462,0.7538,0.7861,0.7643,0.5173
18,0.6835,0.7543,0.7653,0.7748,0.7902,0.7873,0.7846,0.8025,0.5227
19,0.7325,0.7919,0.8164,0.8119,0.8136,0.8445,0.8233,0.818,0.5446
20,0.7832,0.835,0.8347,0.8469,0.8447,0.8497,0.8688,0.8512,0.5665
