Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Rotor_1_blades,20.597665,20.597665,1.749415,1.749415
Rotor_1_blades,20.597665,20.597665,1.749415,1.749415
Totals,41.195329,41.195329,3.498831,3.498831

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Rotor_1_blades_S_Surf0,20.597665,20.597665
Rotor_1_blades_S_Surf1,20.597665,20.597665
