r/R,y/R (y-distance of LE from the middle point of hub)
0.154,0.237276
0.199,0.185796
0.276,0.138567
0.363,0.107796
0.451,0.087672
0.538,0.073944
0.62,0.064116
0.697,0.056628
0.766,0.050427
0.828,0.044694
0.881,0.038727
0.925,0.032019
0.959,0.024492
0.983,0.016224
1,0.007761
