r/R,twist (deg)
0.21,19.32
0.25,17.92
0.3,16.17
0.35,14.42
0.4,12.67
0.45,10.92
0.5,9.17
0.55,7.42
0.6,5.67
0.65,3.92
0.7,2.17
0.75,0.42
0.8,-1.33
0.85,-3.08
0.9,-4.83
0.95,-6.58
1,-8.33
