r/R,y/R (y-distance of LE from the middle point of hub)
0,0.0652
0.15,0.0652
0.2,0.0652
0.25,0.0652
0.3,0.0652
0.35,0.0652
0.4,0.0652
0.45,0.0652
0.5,0.0652
0.55,0.0652
0.6,0.0652
0.65,0.0652
0.7,0.0652
0.75,0.0652
0.8,0.0652
0.85,0.0652
0.9,0.0652
0.95,0.0652
1,0.0652
