r/R,c/R
0,0
0.15,0.15043
0.2,0.16542
0.25,0.17783
0.3,0.18736
0.35,0.19703
0.4,0.20293
0.45,0.20793
0.5,0.20851
0.55,0.21197
0.6,0.2115
0.65,0.20835
0.7,0.20196
0.75,0.19616
0.8,0.18857
0.85,0.17782
0.9,0.169
0.95,0.15062
1,0.12054
