r/R,y/R (y-distance of LE from the middle point of hub)
0.1329,0.04557
0.19,0.04557
0.2025,0.04557
0.228,0.04557
0.25,0.04557
0.2532,0.04557
0.506,0.04557
0.76,0.04557
1,0.04557
