r/R,c/R
0,0.09114
0.086,0.09114
0.16,0.09114
0.2,0.09114
0.25,0.09114
0.3,0.09114
0.35,0.09114
0.4,0.09114
0.45,0.09114
0.5,0.09114
0.55,0.09114
0.6,0.09114
0.65,0.09114
0.7,0.09114
0.75,0.09114
0.8,0.09114
0.85,0.09114
0.9,0.09114
0.9245,0.09114
0.954,0.09114
1,0.09114
