r/R,twist (deg)
0,0
0.154,25.78
0.199,23.71
0.276,18.83
0.363,15.22
0.451,12.82
0.538,11.17
0.62,9.97
0.697,9.06
0.766,8.36
0.828,7.8
0.881,7.35
0.925,7
0.959,6.74
0.983,6.57
1,6.47
