r/R,twist (deg)
0.151627907,0
0.200930233,0
0.251162791,0
0.302325581,0
0.350697674,0
0.400930233,0
0.450232558,0
0.500465116,0
0.549767442,0
0.6,0
0.650232558,0
0.700465116,0
0.749767442,0
0.799069767,0
0.849302326,0
0.900465116,0
0.949767442,0
0.960930233,0
0.969302326,0
0.978604651,0
0.988837209,0
1,0
