r/R,twist (deg)
0,0
0.15,34.7
0.2,33.4
0.25,32.3
0.3,32
0.35,31.6
0.4,31.6
0.45,30
0.5,29
0.55,28
0.6,26
0.65,24.5
0.7,24
0.75,23.5
0.8,22.2
0.85,21
0.9,19
0.95,17
1,17
