r/R,y/R (y-distance of LE from the middle point of hub)
0.1,0.0898
0.15,0.1146
0.2,0.1331
0.25,0.1455
0.3,0.1455
0.35,0.1331
0.4,0.1207
0.45,0.1146
0.5,0.1053
0.55,0.0991
0.6,0.0929
0.65,0.0898
0.7,0.0867
0.75,0.0836
0.8,0.0805
0.85,0.0805
0.9,0.0774
0.95,0.0774
1,0.0712
