r/R,c/R
0,0
0.2,0.2
0.25,0.2
0.3,0.2
0.35,0.2
0.4,0.2
0.45,0.2
0.5,0.2
0.55,0.2
0.6,0.2
0.65,0.2
0.7,0.2
0.75,0.2
0.8,0.2
0.85,0.2
0.9,0.2
0.95,0.2
0.975,0.2
1,0.2
