r/R,twist (deg)
0,0
0.2,34.2215
0.225,30.5885
0.25,27.507
0.275,25.0093
0.3,22.8684
0.325,21.1492
0.35,19.6571
0.375,18.3272
0.4,17.1594
0.425,16.1538
0.45,15.278
0.475,14.4671
0.5,13.7535
0.525,13.0723
0.55,12.4884
0.575,11.937
0.6,11.4504
0.625,10.9963
0.65,10.5746
0.675,10.1854
0.7,9.82854
0.725,9.47173
0.75,9.1798
0.775,8.85542
0.8,8.59592
0.825,8.33642
0.85,8.07692
0.875,7.84986
0.9,7.6228
0.925,7.42817
0.95,7.23355
0.975,7.03892
1,6.87674
