r/R,c/R
0.21,0.5086
0.25,0.502164557
0.3,0.494120253
0.35,0.486075949
0.4,0.478031646
0.45,0.469987342
0.5,0.461943038
0.55,0.453898734
0.6,0.44585443
0.65,0.437810127
0.7,0.429765823
0.75,0.421721519
0.8,0.413677215
0.85,0.405632911
0.9,0.397588608
0.95,0.389544304
1,0.3815
