r/R,Contour file,Aero file
0,clarky.csv,clarky_0.154.csv
0.154,clarky.csv,clarky_0.154.csv
0.363,clarky.csv,clarky_0.363.csv
0.62,clarky.csv,clarky_0.62.csv
0.881,clarky.csv,clarky_0.881.csv
0.959,clarky.csv,clarky_0.959.csv
1,clarky.csv,clarky_1.0.csv
