r/R,z/R  (height of leading edge from top face of hub)
0,0
0.15,0.108802308
0.2,0.078826154
0.25,0.056621692
0.3,0.041078538
0.36,0.031086462
0.4,0.025535308
0.46,0.019984154
0.53,0.014433
0.6,0.013322769
0.68,0.011102308
0.75,0.008881846
0.8,0.007771615
1,0
