r/R,c/R
0.1,0.195333981
0.19,0.253006796
0.29,0.266048544
0.39,0.234168932
0.49,0.206057282
0.58,0.185480583
0.68,0.168381553
0.78,0.154760194
0.87,0.14287767
0.97,0.131865049
1,0.118533981
