r/R,c/R
0,0
0.16,0.167
0.2,0.167
0.25,0.167
0.3,0.167
0.35,0.167
0.4,0.167
0.45,0.167
0.5,0.167
0.55,0.167
0.6,0.167
0.65,0.167
0.7,0.167
0.75,0.167
0.8,0.167
0.85,0.167
0.9,0.167
0.95,0.167
1,0.167
