r/R,c/R
0,0
0.15,0.155887
0.2,0.149254
0.25,0.148839
0.3,0.150912
0.35,0.154643
0.4,0.15796
0.45,0.160033
0.5,0.160448
0.55,0.159619
0.6,0.156716
0.65,0.15257
0.7,0.147181
0.75,0.141376
0.8,0.134328
0.85,0.126451
0.9,0.116501
0.95,0.103648
0.975,0.0953566
1,0.050995
