alpha,CL,CD,CM
-30,-1.1256,0.36057,0.1622
-28,-1.0694,0.34126,0.1418
-26,-1.0092,0.32075,0.1222
-24,-0.9473,0.30031,0.103
-22,-0.8867,0.27957,0.0844
-20,-0.8221,0.25671,0.0685
-19.5,-0.8004,0.24682,0.0658
-19,-0.7891,0.24376,0.0613
-18.5,-0.7666,0.23414,0.059
-18,-0.7664,0.23502,0.0533
-17.5,-0.7341,0.2216,0.0524
-17,-0.7235,0.21642,0.0486
-16.5,-0.7183,0.2141,0.0448
-16,-0.6887,0.20274,0.0435
-15.5,-0.6732,0.19587,0.041
-15,-0.6608,0.18965,0.0385
-14.5,-0.6535,0.18431,0.0359
-14,-0.6415,0.17786,0.034
-13.5,-0.6229,0.17008,0.0328
-13,-0.607,0.1628,0.0315
-12.5,-0.5922,0.15597,0.0307
-12,-0.5928,0.15106,0.0298
-11.5,-0.5694,0.14219,0.0292
-11,-0.5653,0.13657,0.0292
-10.5,-0.541,0.12811,0.0291
-10,-0.5306,0.12119,0.0293
-9.5,-0.5145,0.11408,0.0298
-9,-0.4953,0.10689,0.0303
-8,-0.7503,0.06239,-0.008
-7.5,-0.7726,0.05088,-0.0074
-7,-0.7618,0.04337,-0.0042
-6.5,-0.735,0.03811,-0.0004
-6,-0.7028,0.03414,0.0041
-5.5,-0.6647,0.03168,0.0098
-5,-0.6275,0.03016,0.0172
-4.5,-0.5881,0.0297,0.026
-4,-0.4969,0.01703,0.0311
-3.5,-0.3337,0.0201,0.0252
-3,-0.1965,0.01903,0.013
-2.5,-0.0378,0.01577,-0.0084
-2,0.0484,0.0124,-0.0209
-1.5,0.0573,0.01076,-0.019
-1,0.0555,0.00978,-0.015
-0.5,0.0359,0.00968,-0.0084
0,0,0.02173,0
0.5,-0.0179,0.02194,0.0087
1,-0.0226,0.02259,0.0149
1.5,-0.0141,0.02368,0.0185
2,0.0027,0.02522,0.0199
2.5,0.0231,0.02719,0.02
3,0.1762,0.03152,-0.0041
3.5,0.3978,0.03279,-0.0313
4,0.5317,0.03063,-0.0345
4.5,0.588,0.0297,-0.026
5,0.6275,0.03016,-0.0172
5.5,0.6647,0.03168,-0.0098
6,0.7028,0.03413,-0.0041
6.5,0.735,0.03811,0.0004
7,0.7618,0.04336,0.0042
7.5,0.7726,0.05088,0.0074
8,0.7505,0.06239,0.008
9,0.4963,0.10691,-0.0305
9.5,0.5159,0.11414,-0.03
10,0.5323,0.12128,-0.0295
10.5,0.5421,0.12814,-0.0293
11,0.5659,0.13654,-0.0294
11.5,0.571,0.14229,-0.0295
12,0.5933,0.15102,-0.03
12.5,0.5933,0.15603,-0.0309
13,0.6086,0.16295,-0.0317
13.5,0.6247,0.1703,-0.033
14,0.6438,0.17826,-0.0342
14.5,0.6553,0.18462,-0.0361
15,0.6623,0.18991,-0.0387
15.5,0.6745,0.19613,-0.0413
16,0.6898,0.20299,-0.0438
16.5,0.7188,0.2142,-0.0451
17,0.7251,0.21693,-0.0488
17.5,0.7353,0.22203,-0.0527
18,0.767,0.23528,-0.0537
18.5,0.7679,0.23475,-0.0592
19,0.7899,0.2442,-0.0617
19.5,0.8018,0.24761,-0.0661
20,0.8229,0.2573,-0.0688
20.5,0.8334,0.25951,-0.0741
22,0.8885,0.28114,-0.0846
24,0.9488,0.30209,-0.1035
26,1.0111,0.32335,-0.1227
28,1.0715,0.34479,-0.1424
30,1.1281,0.36522,-0.1629
