alpha,CL,CD,CM
-28,-1.0073,0.33439,0.1245
-28,-1.0073,0.3344,0.1245
-28,-1.0073,0.33439,0.1245
-28,-1.0073,0.33439,0.1245
-26,-0.9523,0.32182,0.1052
-26,-0.9523,0.32182,0.1052
-24,-0.8919,0.30481,0.0883
-22,-0.8136,0.27308,0.0745
-20,-0.7486,0.25328,0.0608
-19.5,-0.7347,0.25035,0.0578
-19,-0.7107,0.24084,0.0551
-18.5,-0.6895,0.23317,0.0524
-18,-0.6704,0.2267,0.0498
-17.5,-0.6518,0.22056,0.0473
-17,-0.6333,0.21444,0.0449
-16.5,-0.6154,0.20867,0.0428
-16,-0.5996,0.2036,0.0409
-15.5,-0.5901,0.20068,0.0396
-15,-0.5598,0.18985,0.0372
-14.5,-0.5386,0.18318,0.0356
-14,-0.5265,0.17866,0.0347
-13.5,-0.4987,0.17011,0.0328
-13,-0.4746,0.16237,0.0311
-12.5,-0.4557,0.15615,0.0301
-12,-0.4322,0.14903,0.0287
-11.5,-0.4026,0.14082,0.0263
-11,-0.3797,0.1345,0.025
-10.5,-0.3414,0.12491,0.0206
-10,-0.3026,0.116,0.0155
-9.5,-0.2567,0.1065,0.0078
-9,-0.188,0.09332,-0.0063
-8.5,-0.1694,0.08747,-0.0088
-8,-0.1508,0.08184,-0.0112
-7.5,-0.1321,0.07647,-0.0136
-7,-0.1133,0.07137,-0.0159
-6.5,-0.0943,0.06658,-0.0181
-6,-0.0752,0.0621,-0.0201
-5.5,-0.056,0.05796,-0.0219
-5,-0.0368,0.05415,-0.0235
-4.5,-0.0177,0.05068,-0.0247
-4,0.0009,0.04756,-0.0256
-3.5,0.0186,0.0448,-0.0261
-3,0.0346,0.0424,-0.0259
-2.5,0.0476,0.04039,-0.0249
-2,0.0553,0.03879,-0.0227
-1.5,0.0555,0.03761,-0.0192
-1,0.0464,0.03686,-0.0141
-1,0.0464,0.03686,-0.0141
-0.5,0.0266,0.03648,-0.0075
0,0,0.03638,0
0.5,-0.0266,0.03648,0.0075
1,-0.0464,0.03685,0.0141
1.5,-0.0555,0.0376,0.0192
2,-0.0553,0.03877,0.0227
2.5,-0.0475,0.04037,0.0249
3,-0.0345,0.04238,0.0259
3.5,-0.0184,0.04477,0.026
4,-0.0006,0.04753,0.0256
4.5,0.0181,0.05065,0.0247
5,0.0373,0.05411,0.0234
5.5,0.0566,0.05792,0.0218
6,0.0759,0.06207,0.02
6.5,0.0951,0.06654,0.0179
7,0.1141,0.07133,0.0158
7.5,0.133,0.07643,0.0135
8,0.1518,0.0818,0.0111
8.5,0.1705,0.08744,0.0086
9,0.1892,0.09329,0.0061
9.5,0.2572,0.10635,-0.0079
10,0.3037,0.11598,-0.0158
10.5,0.3426,0.12493,-0.0209
11,0.3812,0.13457,-0.0253
11.5,0.4039,0.14087,-0.0266
12,0.4337,0.14912,-0.029
12.5,0.4573,0.15628,-0.0304
12.5,0.4573,0.15628,-0.0304
13,0.476,0.1625,-0.0314
14,0.5284,0.17899,-0.0351
14.5,0.5399,0.18335,-0.0359
15,0.5615,0.19017,-0.0375
15.5,0.5912,0.20083,-0.0399
16,0.6008,0.20382,-0.0412
16.5,0.6167,0.20899,-0.0431
17,0.6347,0.21484,-0.0452
17.5,0.6533,0.22103,-0.0476
18,0.6718,0.22722,-0.0501
18.5,0.6909,0.23373,-0.0527
19,0.712,0.24139,-0.0555
19.5,0.7359,0.25087,-0.0582
20,0.7506,0.25438,-0.0611
22,0.8155,0.27441,-0.0749
24,0.8944,0.30736,-0.0888
26,0.9549,0.32489,-0.1057
28,1.0099,0.33783,-0.1252
30,1.0737,0.36814,-0.1426
