alpha,CL,CD,CM
-20,-0.8161,0.24869,0.069
-19.5,-0.8056,0.245,0.063
-19,-0.7899,0.23713,0.0592
-18.5,-0.7681,0.22983,0.0572
-18,-0.7833,0.23365,0.0475
-17.5,-0.738,0.21667,0.0496
-17,-0.7343,0.21336,0.0437
-16.5,-0.7099,0.20356,0.0425
-16,-0.7104,0.20048,0.0368
-15.5,-0.6828,0.19005,0.0361
-15,-0.6946,0.18785,0.03
-14.5,-0.6562,0.17653,0.0308
-14,-0.6568,0.1701,0.0266
-13.5,-0.6556,0.16484,0.0235
-13,-0.6275,0.15579,0.0236
-12.5,-0.6191,0.14829,0.0216
-12,-0.618,0.14112,0.0192
-11.5,-0.6126,0.13391,0.0177
-11,-0.6104,0.12656,0.0161
-10.5,-0.596,0.11923,0.016
-10,-0.5876,0.11193,0.0155
-9.5,-0.8477,0.06442,-0.022
-9,-0.8706,0.0527,-0.0194
-8.5,-0.8711,0.04368,-0.0151
-8,-0.8554,0.03756,-0.0101
-7.5,-0.8193,0.03296,-0.0072
-7,-0.7784,0.02907,-0.0047
-6.5,-0.7375,0.026,-0.0019
-6,-0.6977,0.02346,0.0013
-5.5,-0.6602,0.02137,0.0051
-5,-0.6245,0.01979,0.0094
-4.5,-0.5875,0.01874,0.0141
-4,-0.5497,0.01809,0.0192
-3.5,-0.5118,0.01773,0.0248
-3,-0.4749,0.0177,0.0311
-2.5,-0.437,0.01803,0.0378
-2,-0.3653,0.01907,0.0387
-1.5,-0.1751,0.02028,0.0159
-1,0.0067,0.01936,-0.0094
-0.5,0.0432,0.01833,-0.0113
0,0,0.01809,0
0.5,-0.0431,0.01832,0.0113
1,-0.0068,0.01936,0.0095
1.5,0.175,0.02028,-0.0158
2,0.3652,0.01907,-0.0387
2.5,0.437,0.01803,-0.0377
3,0.4749,0.0177,-0.0311
3.5,0.5117,0.01773,-0.0247
4,0.5497,0.01808,-0.0192
4.5,0.5874,0.01874,-0.0141
5,0.6245,0.01979,-0.0094
5.5,0.6602,0.02137,-0.005
6,0.6976,0.02346,-0.0013
6,0.6976,0.02346,-0.0013
6.5,0.7375,0.026,0.0019
7,0.7784,0.02906,0.0047
7.5,0.8193,0.03296,0.0072
8,0.8554,0.03756,0.0101
8.5,0.8711,0.04368,0.0151
9,0.8707,0.05271,0.0193
9.5,0.8479,0.06444,0.0219
10,0.4565,0.10603,-0.0028
10.5,0.5011,0.11499,-0.0011
11,0.494,0.12204,-0.0016
11.5,0.4878,0.12856,-0.0022
12,0.5058,0.13638,-0.0019
12.5,0.4693,0.13863,-0.0042
13,0.4596,0.14296,-0.0055
13.5,0.4579,0.14743,-0.0062
14,0.4921,0.15729,-0.006
14.5,0.4665,0.15635,-0.0079
15,0.4671,0.16098,-0.0096
15.5,0.4915,0.16854,-0.0097
16,0.4757,0.16994,-0.0129
16.5,0.5212,0.1839,-0.0121
17,0.4883,0.17952,-0.0166
17.5,0.5151,0.18841,-0.0166
18,0.5028,0.18945,-0.0204
18.5,0.5145,0.19476,-0.0219
19,0.5277,0.20242,-0.0234
19.5,0.5243,0.20426,-0.0269
20,0.5503,0.21451,-0.027
